pid	author	authorid	useip	hit_word	context
1001911		\N	\N	X	...thanks louzhu fenx...
1022894		\N	\N	X	...返回"您的用户名为XX，请牢记您的密码，您的密码为XX"
1067442		\N	\N	X	...话：1833XXXXXXXXXX
1092083		\N	\N	xi	...同求！谢谢！啦。。。邮箱：[email]xianjianlicheng@foxmail.com...
1129256		\N	\N	X	...入rm -rf /System/Library/Extensions/AppleIntelCPU*...
1134585		\N	\N	X	...id=158788][color=#999999]xinjian00 发表于 2014-12-20 2...
1136633		\N	\N	X	...id=156668][color=#999999]xinjian00 发表于 2014-12-21 2...
1136776		\N	\N	X	...id=158618][color=#999999]xinjian00 发表于 2014-12-21 2...
1146285		\N	\N	X	...id=159811][color=#999999]xinjian00 发表于 2014-12-26 2...
1174182		\N	\N	X	...1[/align][align=left]姓名：xx[/align][align=left]电话：18...
1177490		\N	\N	X	...6)][font=simsun][size=14px][color=#000000]现在来说一下JAV...
1210370		\N	\N	X	...o not fuck around.
1212869		\N	\N	X	...mao le,bu xiang shang zi xi.提取出其中连续的三个字符...
1234424		\N	\N	X	....701961)][font=UICTFontTextStyleBody][size=17px]Jav...
1235330		\N	\N	X	...curl -s http://freedom.txthinking.com/fuckGFW.py |...
1235342		\N	\N	X	...curl -s http://freedom.txthinking.com/fuckGFW.py |...
1269054		\N	\N	X	...加油。看看有没有跨站<script>alert("xss")</script>...
1295089		\N	\N	X	...(232, 239, 245)][size=12px][b]毙了:[/b][/size][/backc...
1312256		\N	\N	586	...翻墙是怎么用的啊，好心人发给我吧，[email]15865286016@139.com[/email]...
1006055		\N	\N	X	...傻x一个 哈哈...
1008701		\N	\N	X	...右键，看看微软给"zzzz"下的定义吧。（是“SEX”，有趣吧~）
1008704		\N	\N	X	...右键，看看微软给"zzzz"下的定义吧。（是“SEX”，有趣吧~）
1039676		\N	\N	X	...e/gaeproxy.git
1063023		\N	\N	X	..., 238)][font=宋体][size=16px]不翻墙，请使用以下谷歌分站，比google.co...
1084322		\N	\N	X	...的评价，我觉得这程序员很牛逼，不做项目经理，是老板XX）。
1108870		\N	\N	X	...，你妈，你女朋友。 绝对：XXX家，XXX爸，XXX妈，XXX女朋友。XXX就代表谁谁谁。懂不？...
1139617		\N	\N	X	...id=158181][color=#999999]xinjian00 发表于 2014-12-23 0...
1143769		\N	\N	X	...1sjI3FnZ 密码：mok9
1147745		\N	\N	X	...，在catch里可以处理，扔出一个RuntimeException异常直接停止“你Y的除0了”，逼着对...
1152599		\N	\N	X	...gangxuedao zhe...
1158768		\N	\N	X	...jiubi dongxi...
1162001		\N	\N	xi	...习地址：：http://blog.163.com/xiao_yuanzi...
1169810		\N	\N	X	...android:inputType="textVisiblePassword" //可见密码...
1196476		\N	\N	X	...循环语句，几个算法，就大谈热爱，大谈人生，哼哼，傻X。所以，我请你放下自己的身段，审视自己的内心。剥离...
1200490		\N	\N	X	...想说xxx吧？白痴！
1218878		\N	\N	X	...MyEclipse。破解版。。超nx。不解释。...
1290944		\N	\N	X	...严重同意“福娃51zx”的说法……...
1005239		\N	\N	X	...张老师的猥琐的声音，还有那总是在代码里敲进去的的ZXX。。。
1007727		\N	\N	压榨	...有问题，因为你会发现现在很多的公司都会最大力度的去压榨员工，方式当然就是变态的加班。。。...
1051358		\N	\N	老大	...][color=rgb(62, 62, 62)]“老大，那您当年的肉鸡一定很多吧？能有多少啊？DDOS吗...
1063020		\N	\N	天朝	...vetica, sans-serif]　　PS：我天朝向来是不会允许自由精神太过猖狂的，别说互联网了。虽...
1073045		\N	\N	X	...d=152602][color=#999999]Sxxjava 发表于 2014-11-13 21:4...
1105610		\N	\N	天朝	...国内BAT都没有加密，天朝不太重视个人隐私安全，国外google fackb...
1169765		\N	\N	X	...地址传递的本质是将钥匙复制一份给你,告诉你这是XXX房间的钥匙,你可以用钥匙去房间为所欲为.
1185953		\N	\N	X	...问题了。 版主们 难道你们就不知道改chong 过xin自zuo新ren吗？...
1192499		\N	\N	X	...话说在吹水圣地写了，没啥回复。请别说我sx，比我sx的人多的是。有你骂人的功夫已经看完了-----...
1339781		\N	\N	X	...中NTFS for Mac 破解软件，要能在OS X 10.9.5中能用的...
1025196		\N	\N	X	...=HannotateSC-W5][size=13px][b][size=14px]1、越狱[/size...
1037677		\N	\N	天朝	...港版真便宜 生在天朝 躺着 也挨刀啊...
1038196		\N	\N	天朝	...[color=#999999]港版真便宜 生在天朝 躺着 也挨刀啊[/color][/quote]...
1058403		\N	\N	X	.../subject/newvideofdb/index.shtml]点击这里有药[/url]
1061622		\N	\N	X	...我也看了那个过度包装的帖子，怎么感觉其中是赤裸裸的XX呢...不过这也可能是我本人主观上认为黑马太好了...
1062655		\N	\N	X	...d=151414][color=#999999]Sxxjava 发表于 2014-11-5 22:46...
1069824		\N	\N	天朝	...大哥。。。天朝。。。帝都。。。你还不懂吗...
1111465		\N	\N	X	...怎么被xx了...
1118573		\N	\N	X	...分清是为当前用户设置还是所有用户。这一点在Linux中尤为重要。Windows中你是盗版系统的话默认就...
1121267		\N	\N	X	...厦门是吗的想SM CK  XMAN XK...
1136692		\N	\N	X	...我可以拿走把XXX换成自己的直接用吗？...
1152121		\N	\N	X	...gangxie louzhu fenxiang...
1184746		\N	\N	X	...！~最后程序员感觉对方不够体贴，女人感觉这人是个傻X。
1190669		\N	\N	X	...ownloads/list 请自备梯子
1198372		\N	\N	X	...聊天应用, 支持 干掉Tx...
1237497		\N	\N	X	...黑马币
1253637		\N	\N	X	...-v图)错误解决(原版,破解kernel,补丁kext下载)-远景论坛-微软极客社区
1256152		\N	\N	X	...-v图)错误解决(原版,破解kernel,补丁kext下载)-远景论坛-微软极客社区
1261782		\N	\N	X	...-------IP地址侦测器
1268948		\N	\N	X	...度不行 但是不需要灵活度的时候还不用IB 那不是装X吗 要是没人用苹果还开发IB干嘛 早去掉了 IB在...
1271309		\N	\N	叉	...学ios的觉得学java的是傻叉，学java的觉得ios是傻叉，关键是在哪里提问；...
1298107		\N	\N	X	...size=3]XX[/size][size=3]XXXX[/size][size=3]X（high起来...
1300659		\N	\N	矮矬	...体，鱼龙混杂，有高飞天上的白富美，也有低到尘埃里的矮矬穷，总之虽一类而九流具足。
1327365		\N	\N	X	...不起美工， 周末了，美工带着妹子出去约会了…一群傻X程序员还在加班！
1118063		\N	\N	天朝	...没办法，天朝的孩纸就是这么苦逼...
1354691		\N	\N	X	...://blog.csdn.net/binbinsex...
1357421		\N	\N	X	...://blog.csdn.net/binbinsex 麻烦老师查阅   谢谢 老师辛苦了...
1365752		\N	\N	X	...好，知道，密码，吧索xvvv豹女那边bv...
1380433		\N	\N	X	...牛xXXXXXXX...
1393397		\N	\N	叉	...你傻叉啊!!!我的老师都打不开,你能看到吗?...
1393434		\N	\N	叉	...了两页就给偷走，真不 ...[/quote]  傻叉!!你自己看的你自己的,别冤枉好人...
1393442		\N	\N	叉	...了两页就给偷走，真不 ...[/quote]  傻叉。。。傻叉！！！人家版主发的地址你能进去？？你自己...
1404195		\N	\N	X	...：“隔壁你哥屋桌子上”（相对路径） 回：“xxx省xxx市xxx区xxx街道xxx号xxx单元xxx...
1410051		\N	\N	X	...://blog.csdn.net/binbinsex 麻烦老师审核 谢谢...
1426867		\N	\N	X	...[align=left]自荐信--赵**--152XXXXXXXX
1432864		\N	\N	X	...1.xicheng来了
1438157		\N	\N	天朝	...要收费的，不适合天朝人...
1458202		\N	\N	X	...朋友和谈了五年的女朋友分手了，他跟他朋友说，就当xx了别人媳妇五年。。。。。...
1460584		\N	\N	X	...牛XXXX 顶下...
1522580		\N	\N	xi	...死亡；
1558920		\N	\N	X	...美女 啊，好sex...
1563678		\N	\N	X	...泄露用户敏感信息。
1571316		\N	\N	X	...分了 尼玛，技术分终于到10 分了，这是有多艰难，XXXXXXXXXXXXXXXXX...
1602987		\N	\N	X	...习（是否成长了许多？）
1773637		\N	\N	X	...1、caidao来签到啦！
1794261		\N	\N	换人	...就是内循环,三个女朋友就是外循环,扇完了三十耳光才换人...
1458029		\N	\N	X	...；演出失败了我们怪音响不好；考试搓掉了我们怪老师傻x……
1467744		\N	\N	X	...uts2.impl.StrutsActionProxy.execute(StrutsActionPro...
1471465		\N	\N	X	...网站（高清无码）
1491605		\N	\N	X	...， 会DDOS一秒钟死一个站，，会注入，会上传，会Xss,会破解，会嗅探，会开发，会业务，会运维，渗透...
1521703		\N	\N	X	...工具，这个东西多么牛逼你们可以自己百度下他的前身，xuetr,以及作者linxer,玩的都是系统基层r...
1572477		\N	\N	X	...，我三个月就落后，半年后就嗝屁了。我去考虑多6K X 3~6个月的成本？我要是招来人，业务上去了，下半...
1597861		\N	\N	X	...泄露用户敏感信息。
1618968		\N	\N	X	...分享office 2011 for Mac破解版和Xcode 6.4 [b]链接: http://pa...
1634788		\N	\N	xi	...e]  被和谐了 啊  zhong  guo   xi  zang...
1655528		\N	\N	叉	...有这样的能力,有能力包装是牛逼,没能力的包装就是傻叉....
1663049		\N	\N	X	...用递归和IO做的删除C盘文件的做出来你就可以拿去装X啦·~~...
1685622		\N	\N	X	...迎风尿一脸来签到啦！
1686763		\N	\N	X	...mac 上下载word的方法 Soft.macx.cn，先在此网站上下载软件安装包，然后在下载破解...
1704388		\N	\N	X	...:15621102371
1735686		\N	\N	X	...贴就回[/quote]  哥送我点黑麻痹xxxxxxx...
